166,Aegean Numbers,65792,65855
167,Ancient Greek Numbers,65856,65935
168,Ancient Symbols,65936,65999
169,Phaistos Disc,66000,66047
170,Lycian,66176,66207
171,Carian,66208,66271
172,Coptic Epact Numbers,66272,66303
173,Old Italic,66304,66351
174,Gothic,66352,66383
175,Old Permic,66384,66431
176,Ugaritic,66432,66463
177,Old Persian,66464,66527
178,Deseret,66560,66639
179,Shavian,66640,66687
180,Osmanya,66688,66735
181,Osage,66736,66815
182,Elbasan,66816,66863
183,Caucasian Albanian,66864,66927
184,Vithkuqi,66928,67007
185,Linear A,67072,67455
186,Latin Extended-F,67456,67519
187,Cypriot Syllabary,67584,67647
188,Imperial Aramaic,67648,67679
189,Palmyrene,67680,67711
190,Nabataean,67712,67759
191,Hatran,67808,67839
192,Phoenician,67840,67871
193,Lydian,67872,67903
194,Meroitic Hieroglyphs,67968,67999
195,Meroitic Cursive,68000,68095
196,Kharoshthi,68096,68191
197,Old South Arabian,68192,68223
198,Old North Arabian,68224,68255
199,Manichaean,68288,68351
200,Avestan,68352,68415
201,Inscriptional Parthian,68416,68447
202,Inscriptional Pahlavi,68448,68479
203,Psalter Pahlavi,68480,68527
204,Old Turkic,68608,68687
205,Old Hungarian,68736,68863
206,Hanifi Rohingya,68864,68927
207,Rumi Numeral Symbols,69216,69247
208,Yezidi,69248,69311
209,Arabic Extended-C,69312,69375
210,Old Sogdian,69376,69423
211,Sogdian,69424,69487
212,Old Uyghur,69488,69551
213,Chorasmian,69552,69599
214,Elymaic,69600,69631
215,Brahmi,69632,69759
216,Kaithi,69760,69839
217,Sora Sompeng,69840,69887
218,Chakma,69888,69967
219,Mahajani,69968,70015
220,Sharada,70016,70111
221,Sinhala Archaic Numbers,70112,70143
222,Khojki,70144,70223
223,Multani,70272,70319
224,Khudawadi,70320,70399
225,Grantha,70400,70527
226,Newa,70656,70783
227,Tirhuta,70784,70879
228,Siddham,71040,71167
229,Modi,71168,71263
230,Mongolian Supplement,71264,71295
231,Takri,71296,71375
232,Ahom,71424,71503
233,Dogra,71680,71759
234,Warang Citi,71840,71935
235,Dives Akuru,71936,72031
236,Nandinagari,72096,72191
237,Zanabazar Square,72192,72271
238,Soyombo,72272,72367
239,Unified Canadian Aboriginal Syllabics Extended-A,72368,72383
240,Pau Cin Hau,72384,72447
241,Devanagari Extended-A,72448,72543
242,Bhaiksuki,72704,72815
243,Marchen,72816,72895
244,Masaram Gondi,72960,73055
245,Gunjala Gondi,73056,73135
246,Makasar,73440,73471
247,Kawi,73472,73567
248,Lisu Supplement,73648,73663
249,Tamil Supplement,73664,73727
250,Cuneiform,73728,74751
251,Cuneiform Numbers and Punctuation,74752,74879
252,Early Dynastic Cuneiform,74880,75087
253,Cypro-Minoan,77712,77823
254,Egyptian Hieroglyphs,77824,78895
255,Egyptian Hieroglyph Format Controls,78896,78943
256,Anatolian Hieroglyphs,82944,83583
257,Bamum Supplement,92160,92735
258,Mro,92736,92783
259,Tangsa,92784,92879
260,Bassa Vah,92880,92927
261,Pahawh Hmong,92928,93071
262,Medefaidrin,93760,93855
263,Miao,93952,94111
264,Ideographic Symbols and Punctuation,94176,94207
265,Tangut,94208,100351
266,Tangut Components,100352,101119
267,Khitan Small Script,101120,101631
268,Tangut Supplement,101632,101759
269,Kana Extended-B,110576,110591
270,Kana Supplement,110592,110847
271,Kana Extended-A,110848,110895
272,Small Kana Extension,110896,110959
273,Nushu,110960,111359
274,Duployan,113664,113823
275,Shorthand Format Controls,113824,113839
276,Znamenny Musical Notation,118528,118735
277,Byzantine Musical Symbols,118784,119039
278,Musical Symbols,119040,119295
279,Ancient Greek Musical Notation,119296,119375
280,Kaktovik Numerals,119488,119519
281,Mayan Numerals,119520,119551
282,Tai Xuan Jing Symbols,119552,119647
283,Counting Rod Numerals,119648,119679
284,Mathematical Alphanumeric Symbols,119808,120831
285,Sutton SignWriting,120832,121519
286,Latin Extended-G,122624,122879
287,Glagolitic Supplement,122880,122927
288,Cyrillic Extended-D,122928,123023
289,Nyiakeng Puachue Hmong,123136,123215
290,Toto,123536,123583
