114,114,LATIN SMALL LETTER R,,0,1.1
115,115,LATIN SMALL LETTER S,,0,1.1
116,116,LATIN SMALL LETTER T,,0,1.1
117,117,LATIN SMALL LETTER U,,0,1.1
118,118,LATIN SMALL LETTER V,,0,1.1
119,119,LATIN SMALL LETTER W,,0,1.1
120,120,LATIN SMALL LETTER X,,0,1.1
121,121,LATIN SMALL LETTER Y,,0,1.1
122,122,LATIN SMALL LETTER Z,,0,1.1
123,123,LEFT CURLY BRACKET,OPENING CURLY BRACKET,0,1.1
124,124,VERTICAL LINE,VERTICAL BAR,0,1.1
125,125,RIGHT CURLY BRACKET,CLOSING CURLY BRACKET,0,1.1
126,126,TILDE,,0,1.1
127,127,DELETE,,0,1.1
128,128,PADDING CHARACTER,,1,1.1
129,129,HIGH OCTET PRESET,,1,1.1
130,130,BREAK PERMITTED HERE,,1,1.1
131,131,NO BREAK HERE,,1,1.1
132,132,INDEX,,1,1.1
133,133,NEXT LINE (NEL),,1,1.1
134,134,START OF SELECTED AREA,,1,1.1
135,135,END OF SELECTED AREA,,1,1.1
136,136,CHARACTER TABULATION SET,,1,1.1
137,137,CHARACTER TABULATION WITH JUSTIFICATION,,1,1.1
138,138,LINE TABULATION SET,,1,1.1
139,139,PARTIAL LINE FORWARD,,1,1.1
140,140,PARTIAL LINE BACKWARD,,1,1.1
141,141,REVERSE LINE FEED,,1,1.1
142,142,SINGLE SHIFT TWO,,1,1.1
143,143,SINGLE SHIFT THREE,,1,1.1
144,144,DEVICE CONTROL STRING,,1,1.1
145,145,PRIVATE USE ONE,,1,1.1
146,146,PRIVATE USE TWO,,1,1.1
147,147,SET TRANSMIT STATE,,1,1.1
148,148,CANCEL CHARACTER,,1,1.1
149,149,MESSAGE WAITING,,1,1.1
150,150,START OF GUARDED AREA,,1,1.1
151,151,END OF GUARDED AREA,,1,1.1
152,152,START OF STRING,,1,1.1
153,153,SINGLE GRAPHIC CHARACTER INTRODUCER,,1,1.1
154,154,SINGLE CHARACTER INTRODUCER,,1,1.1
155,155,CONTROL SEQUENCE INTRODUCER,,1,1.1
156,156,STRING TERMINATOR,,1,1.1
157,157,OPERATING SYSTEM COMMAND,,1,1.1
158,158,PRIVACY MESSAGE,,1,1.1
159,159,APPLICATION PROGRAM COMMAND,,1,1.1
160,160,NO-BREAK SPACE,NON-BREAKING SPACE,1,1.1
161,161,INVERTED EXCLAMATION MARK,,1,1.1
162,162,CENT SIGN,,1,1.1
163,163,POUND SIGN,,1,1.1
164,164,CURRENCY SIGN,,1,1.1
165,165,YEN SIGN,,1,1.1
166,166,BROKEN BAR,BROKEN VERTICAL BAR,1,1.1
167,167,SECTION SIGN,,1,1.1
168,168,DIAERESIS,SPACING DIAERESIS,1,1.1
169,169,COPYRIGHT SIGN,,1,1.1
170,170,FEMININE ORDINAL INDICATOR,,1,1.1
171,171,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,LEFT POINTING GUILLEMET,1,1.1
172,172,NOT SIGN,,1,1.1
173,173,SOFT HYPHEN,,1,1.1
174,174,REGISTERED SIGN,REGISTERED TRADE MARK SIGN,1,1.1
175,175,MACRON,SPACING MACRON,1,1.1
176,176,DEGREE SIGN,,1,1.1
177,177,PLUS-MINUS SIGN,PLUS-OR-MINUS SIGN,1,1.1
178,178,SUPERSCRIPT TWO,SUPERSCRIPT DIGIT TWO,1,1.1
179,179,SUPERSCRIPT THREE,SUPERSCRIPT DIGIT THREE,1,1.1
180,180,ACUTE ACCENT,SPACING ACUTE,1,1.1
181,181,MICRO SIGN,,1,1.1
182,182,PILCROW SIGN,PARAGRAPH SIGN,1,1.1
183,183,MIDDLE DOT,,1,1.1
184,184,CEDILLA,SPACING CEDILLA,1,1.1
185,185,SUPERSCRIPT ONE,SUPERSCRIPT DIGIT ONE,1,1.1
186,186,MASCULINE ORDINAL INDICATOR,,1,1.1
187,187,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,RIGHT POINTING GUILLEMET,1,1.1
188,188,VULGAR FRACTION ONE QUARTER,FRACTION ONE QUARTER,1,1.1
189,189,VULGAR FRACTION ONE HALF,FRACTION ONE HALF,1,1.1
190,190,VULGAR FRACTION THREE QUARTERS,FRACTION THREE QUARTERS,1,1.1
191,191,INVERTED QUESTION MARK,,1,1.1
192,192,LATIN CAPITAL LETTER A WITH GRAVE,LATIN CAPITAL LETTER A GRAVE,1,1.1
193,193,LATIN CAPITAL LETTER A WITH ACUTE,LATIN CAPITAL LETTER A ACUTE,1,1.1
194,194,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,LATIN CAPITAL LETTER A CIRCUMFLEX,1,1.1
195,195,LATIN CAPITAL LETTER A WITH TILDE,LATIN CAPITAL LETTER A TILDE,1,1.1
196,196,LATIN CAPITAL LETTER A WITH DIAERESIS,LATIN CAPITAL LETTER A DIAERESIS,1,1.1
197,197,LATIN CAPITAL LETTER A WITH RING ABOVE,LATIN CAPITAL LETTER A RING,1,1.1
198,198,LATIN CAPITAL LETTER AE,LATIN CAPITAL LETTER A E,1,1.1
199,199,LATIN CAPITAL LETTER C WITH CEDILLA,LATIN CAPITAL LETTER C CEDILLA,1,1.1
200,200,LATIN CAPITAL LETTER E WITH GRAVE,LATIN CAPITAL LETTER E GRAVE,1,1.1
201,201,LATIN CAPITAL LETTER E WITH ACUTE,LATIN CAPITAL LETTER E ACUTE,1,1.1
202,202,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,LATIN CAPITAL LETTER E CIRCUMFLEX,1,1.1
203,203,LATIN CAPITAL LETTER E WITH DIAERESIS,LATIN CAPITAL LETTER E DIAERESIS,1,1.1
204,204,LATIN CAPITAL LETTER I WITH GRAVE,LATIN CAPITAL LETTER I GRAVE,1,1.1
205,205,LATIN CAPITAL LETTER I WITH ACUTE,LATIN CAPITAL LETTER I ACUTE,1,1.1
206,206,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,LATIN CAPITAL LETTER I CIRCUMFLEX,1,1.1
207,207,LATIN CAPITAL LETTER I WITH DIAERESIS,LATIN CAPITAL LETTER I DIAERESIS,1,1.1
208,208,LATIN CAPITAL LETTER ETH,,1,1.1
209,209,LATIN CAPITAL LETTER N WITH TILDE,LATIN CAPITAL LETTER N TILDE,1,1.1
210,210,LATIN CAPITAL LETTER O WITH GRAVE,LATIN CAPITAL LETTER O GRAVE,1,1.1
211,211,LATIN CAPITAL LETTER O WITH ACUTE,LATIN CAPITAL LETTER O ACUTE,1,1.1
212,212,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,LATIN CAPITAL LETTER O CIRCUMFLEX,1,1.1
213,213,LATIN CAPITAL LETTER O WITH TILDE,LATIN CAPITAL LETTER O TILDE,1,1.1
214,214,LATIN CAPITAL LETTER O WITH DIAERESIS,LATIN CAPITAL LETTER O DIAERESIS,1,1.1
215,215,MULTIPLICATION SIGN,,1,1.1
216,216,LATIN CAPITAL LETTER O WITH STROKE,LATIN CAPITAL LETTER O SLASH,1,1.1
217,217,LATIN CAPITAL LETTER U WITH GRAVE,LATIN CAPITAL LETTER U GRAVE,1,1.1
218,218,LATIN CAPITAL LETTER U WITH ACUTE,LATIN CAPITAL LETTER U ACUTE,1,1.1
219,219,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,LATIN CAPITAL LETTER U CIRCUMFLEX,1,1.1
220,220,LATIN CAPITAL LETTER U WITH DIAERESIS,LATIN CAPITAL LETTER U DIAERESIS,1,1.1
221,221,LATIN CAPITAL LETTER Y WITH ACUTE,LATIN CAPITAL LETTER Y ACUTE,1,1.1
222,222,LATIN CAPITAL LETTER THORN,,1,1.1
